Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,41.826,42.2,1.167,1.31,43.51,0,0,0.6667,1.0,-,,
1,unknown,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.465,1.77,2.788,2.88,4.66,0,0,0.6667,1.0,-,,
1,unknown,0,0,1,1,0,0.2,0.0,0.2,0.04,0.24,6.542,6.78,1.074,1.16,7.94,0,0,0.6667,1.0,-,,
2,unknown,0,0,2,1,0,0.08,0.0,0.08,0.08,0.16,1.523,1.9,0.835,0.93,2.83,0,0,0.6667,1.0,-,,
3,unknown,0,0,3,1,0,0.08,0.0,0.08,0.0,0.08,0.385,0.67,0.244,0.33,1.0,0,0,0.6667,1.0,-,,
1,unknown,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,100.394,100.8,100.25,100.35,201.15,0,0,0.6667,1.0,-,,
2,unknown,0,0,2,1,0,0.16,0.0,0.16,0.0,0.16,100.277,100.62,100.041,100.12,200.74,0,0,0.6667,1.0,-,,
3,unknown,0,0,3,1,0,0.08,0.0,0.08,0.0,0.08,100.078,100.46,100.024,100.13,200.58,0,0,0.6667,1.0,-,,
4,unknown,0,0,4,1,0,0.12,0.0,0.12,0.04,0.16,100.024,100.35,100.092,100.17,200.52,0,0,0.6667,1.0,-,,
5,unknown,0,0,5,1,0,0.04,0.0,0.04,0.04,0.08,100.209,100.67,100.172,100.26,200.93,0,0,0.6667,1.0,-,,
6,unknown,0,0,6,1,0,0.16,0.0,0.16,0.04,0.2,100.012,100.32,100.026,100.1,200.43,0,0,0.6667,1.0,-,,
